url,title,company,categories,raw_phrases,location_raw,location_cities,location_regions,location_countries,location_type,location_is_remote,applicant_location_requirements,location_sources
https://web3.career/technical-lead-linux-100-remote-tether/138558,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Rio De Janeiro, Brazil","Rio De Janeiro, Brazil",,Brazil,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138559,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Salvador, Brazil","Salvador, Brazil",,Brazil,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138560,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Amsterdam, Netherlands","Amsterdam, Netherlands",,Netherlands,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138561,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/technical-lead-linux-100-remote-tether/138562,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Milan, Italy","Milan, Italy",,Italy,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138563,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Dublin, Ireland","Dublin, Ireland",,Ireland,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138564,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Madrid, Spain","Madrid, Spain",,Spain,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138565,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Buenos Aires, Argentina","Buenos Aires, Argentina",,Argentina,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138566,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Bangalore, India","Bangalore, India",,India,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138567,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"London, United Kingdom","London, United Kingdom",,United Kingdom,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138568,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",,United Arab Emirates,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138569,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Stockholm, Sweden","Stockholm, Sweden",,Sweden,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138570,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Islamabad, Pakistan","Islamabad, Pakistan",,Pakistan,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138572,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,Denmark,,,Denmark,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138573,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Lagos, Nigeria","Lagos, Nigeria",,Nigeria,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138574,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Medellin, Colombia","Medellin, Colombia",,Colombia,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-linux-100-remote-tether/138575,Web3 Technical Lead - Linux (100% Remote) $104k - $109k,Tether,Computer Science / Software Engineering,computer science; computer science; computer science,"Montevideo, Uruguay","Montevideo, Uruguay",,Uruguay,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-manager-chain-services-alchemy/107631,"Web3 Technical Lead Manager, Chain Services $220k - $265k Remote",Alchemy,Computer Science / Software Engineering,computer science; computer science; computer science; computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/technical-lead-rust-c-keyrock/103851,Web3 Technical Lead (Rust/C++) $84k - $90k in Brussels,Keyrock,Computer Science / Software Engineering; Finance / Economics / Business; Other / Unspecified,computer science; computer science; devsecfinops; computer science; business; internal platform architecture; observability and devops best practices; computer science; london; london; london; a fast paced environment; london; london; london; london; london; london; orderbooksoutstanding written and verbal presentation skillsnice to have; london; crypto marketsexperience with fix; london; crypto marketsexperience with fix; london; london,"Brussels, Belgium","Brussels, Belgium",,Belgium,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-abu-dhabi-tether/105846,Web3 Technical Lead - Wallets (100% remote- Abu Dhabi) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",,United Arab Emirates,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-abu-dhabi-tether/108235,Web3 Technical Lead - Wallets (100% remote- Abu Dhabi) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",,United Arab Emirates,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-argentina-tether/105850,Web3 Technical Lead - Wallets (100% remote - Argentina) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Buenos Aires, Argentina","Buenos Aires, Argentina",,Argentina,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-barcelona-tether/106343,Web3 Technical Lead - Wallets (100% remote - Barcelona) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Barcelona, Spain","Barcelona, Spain",,Spain,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-barcelona-tether/108233,Web3 Technical Lead - Wallets (100% remote - Barcelona) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Barcelona, Spain","Barcelona, Spain",,Spain,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-brazil-tether/105847,Web3 Technical Lead - Wallets (100% remote - Brazil) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Sao Paulo, Brazil","Sao Paulo, Brazil",,Brazil,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-dubai-tether/107077,Web3 Technical Lead - Wallets (100% remote- Dubai) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",,United Arab Emirates,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-dubai-tether/108234,Web3 Technical Lead - Wallets (100% remote- Dubai) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",,United Arab Emirates,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-india-tether/106344,Web3 Technical Lead - Wallets (100% remote - India) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Bangalore, India","Bangalore, India",,India,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-india-tether/108236,Web3 Technical Lead - Wallets (100% remote - India) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Bangalore, India","Bangalore, India",,India,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-ireland-tether/105851,Web3 Technical Lead - Wallets (100% remote - Ireland) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Dublin, Ireland","Dublin, Ireland",,Ireland,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-ireland-tether/108237,Web3 Technical Lead - Wallets (100% remote - Ireland) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Dublin, Ireland","Dublin, Ireland",,Ireland,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-japan-tether/108230,Web3 Technical Lead - Wallets (100% remote - Japan) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Tokyo, Japan","Tokyo, Japan",,Japan,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-madrid-tether/106342,Web3 Technical Lead - Wallets (100% remote- Madrid) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Madrid, Spain","Madrid, Spain",,Spain,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-pakistan-tether/108166,Web3 Technical Lead - Wallets (100% remote - Pakistan) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Islamabad, Pakistan","Islamabad, Pakistan",,Pakistan,TELECOMMUTE,true,Anywhere,jsonld
